Epoch,GN_noniid_balanced,GN_noniid_unbalanced,GN_iid,BN_noniid_balanced,BN_iid,BN_noniid_unbalanced
1,3.2524358891844747,6.336795478070323,5.8300108098983765,2.0660348118916154,3.993098089456558,3.232059778261365
2,1.542185221403837,2.360456568851085,2.6272008018493653,1.6785707045942544,3.17356455039978,2.822119242732188
3,0.9741722373962404,1.8658101999470904,2.4327089061737057,1.3571284022927284,2.6937640144824977,2.2430185695187785
4,0.9068261449337004,1.8379193113370664,2.39152519273758,1.1220980799198152,2.4658299007415776,1.982431249758984
5,0.855238255649805,1.79780817867838,2.3709289879798887,0.9587987132966518,2.308711303710937,1.8270509645939603
6,0.8223694522380827,1.7999899639675576,2.336794078350067,0.8980034372508527,2.242082390785217,1.772514535750768
7,0.8214093559384346,1.7428893707339612,2.310832675218582,0.8747955580726267,2.1863703615665435,1.675481839869296
8,0.8177206018567086,1.713482148648643,2.2800738029479986,0.8548563149124384,2.139722410202026,1.6622783854538463
9,0.8099837662577627,1.6795784541984702,2.2501009123325346,0.8158156600538641,2.0950842311382294,1.606524575497955
10,0.7723521467149258,1.6483668100128426,2.221692756652832,0.7697348978146911,2.0823012516498567,1.6138947918528328
11,0.7804652852714062,1.6314368928565777,2.1821454019546507,0.7653266121149063,2.058712999343872,1.5744313385874873
12,0.7979354819357395,1.598010281170747,2.154837286233902,0.7436023325286806,2.0180950570106506,1.5665633595513933
13,0.7583943093717098,1.592951070627059,2.1398819963932034,0.7044492082223297,1.984135108232498,1.5331683552585689
14,0.7669326135516166,1.572235142447639,2.129924129486084,0.7200444071739912,1.9670563247203827,1.4969121451555956
15,0.7556008897125721,1.5558458677719038,2.106147091627121,0.7017897668741643,1.9359727201461792,1.463378429802762
16,0.7317928661406039,1.5590796351643037,2.102073000192642,0.6641840708106757,1.9108268635272976,1.4577300519903993
17,0.7425246359705925,1.5514758093144596,2.0888675849437712,0.656234472438693,1.9080605430603028,1.4458052505335
18,0.7298164364695549,1.5594299516466834,2.09044719696045,0.6347579165324567,1.8912575604915616,1.4295272149748108
19,0.7290836187005044,1.5395816631888015,2.058157501459122,0.6457464282065629,1.869427814245224,1.4053912570669185
20,0.719646733880043,1.5367131047653153,2.0651867413520817,0.6137584934160114,1.841805609703064,1.403123245371564
21,0.72016458183527,1.5131288787091548,2.0557344834804536,0.6172903771810234,1.8486572449207304,1.3665402461764742
22,0.7087495266497135,1.5046139290582836,2.0544363226890563,0.6333380228802563,1.8206780130863192,1.3648340077792978
23,0.6950137485563754,1.5292856593845638,2.0467912547588347,0.5878369525521994,1.800407009601593,1.3857241086107992
24,0.6968055223822593,1.4984084932899002,2.047164688110352,0.5812518406063318,1.7868448157310486,1.3524698329589646
25,0.6982467554509639,1.5143979614149454,2.0291980249881747,0.579338602013886,1.7643342387676235,1.3607352017238683
26,0.7062781674265862,1.5161623813583396,2.0321790552139283,0.580145841896534,1.7697416455745696,1.3271223071372094
27,0.6917293169945479,1.5002116708279585,2.029638919591904,0.5937700695097446,1.7191908365488051,1.3284546515936966
28,0.6900204292535781,1.495986074463705,2.018493248224259,0.5935768393874168,1.727236555337906,1.3160831462567333
29,0.6972039995193482,1.4741045906809067,2.00438643527031,0.5775627950318158,1.7275264108181,1.3242112217442592
30,0.6801642878353598,1.4903071118398057,2.0158019144535064,0.5399402593672276,1.6803521331548688,1.2935773565268365
31,0.700758231818676,1.5084531268041017,2.0068159911632537,0.5750155629552901,1.6874432581663132,1.2801726112646372
32,0.6744618946164846,1.4831227256395634,2.002772144317627,0.5440760212242604,1.671527941465378,1.2643710780245063
33,0.6762017426639794,1.4680663702770334,1.996121417284012,0.5539497125446796,1.6593822147846222,1.2601802475756103
34,0.6578395848125218,1.4906084878544823,1.9958774225711824,0.5463615399971604,1.6482805091142656,1.2575575626070363
35,0.6576512393206357,1.482788775060122,1.992195420980453,0.5451957123763859,1.6340071209669111,1.2533975932393782
36,0.6519815277010201,1.4687956874265031,1.9948226258754729,0.5283527669981123,1.623833639621734,1.2567438520005094
37,0.6772774989902974,1.4547032222513057,1.9795189230442043,0.5141983808465301,1.6030676704645157,1.2552453034031092
38,0.6527244317084551,1.4635314006681277,1.960216451883316,0.5226731336526573,1.5922114067077635,1.228250457669045
39,0.6580724911540746,1.454550039567732,1.9723265690803529,0.5277535082399843,1.56197290122509,1.2355067650918756
40,0.6560132768452166,1.465147766321222,1.9541542837619776,0.5159623928815126,1.566810220003128,1.2045214839504577
41,0.650543895676732,1.4553049214497211,1.949002272605896,0.5120154498703777,1.5524451450109482,1.2110072815122614
42,0.6488645181134343,1.447928709646228,1.946388904571533,0.5038419379862026,1.5205525153875352,1.1801156942100388
43,0.6452633475214242,1.425301574201006,1.9506341466903687,0.4818729312699288,1.530508522152901,1.177427382882807
44,0.6519498281925916,1.4433376513110094,1.9417181417942049,0.4967554946430028,1.499166848421097,1.188590753588105
45,0.6295699561238288,1.4205677792636222,1.943041592359543,0.495964370086789,1.5035931556224824,1.1779060746050454
46,0.6228184023946525,1.429400910658725,1.935987271308899,0.4858154090419411,1.4913398621082306,1.1770170629594612
47,0.6333118083029985,1.4247612478770415,1.9306182911396028,0.5106004952713847,1.4859858658313747,1.1839927405012576
48,0.6325467111468316,1.424148158425294,1.9265306904315944,0.4881547307465225,1.447755476355553,1.1685277253524258
49,0.6177684321254492,1.4103586772559322,1.920575919151306,0.4910532532334327,1.450720240354538,1.1512836513859808
50,0.6224040425792337,1.4120112462336374,1.912314153909683,0.4685668972767889,1.4307946236133575,1.1337825848548475
