,optim,lr,loss
0,adam,1e-06,7.140646934509277
1,adam,1.0099999999999999e-06,7.150228023529053
2,adam,1.0200999999999998e-06,7.136053562164307
3,adam,1.0303009999999997e-06,7.154873847961426
4,adam,1.0406040099999998e-06,7.13401985168457
5,adam,1.0510100500999999e-06,7.084185600280762
6,adam,1.061520150601e-06,7.124860763549805
7,adam,1.07213535210701e-06,7.090648174285889
8,adam,1.08285670562808e-06,7.0691237449646
9,adam,1.0936852726843608e-06,7.11527156829834
10,adam,1.1046221254112045e-06,7.100785732269287
11,adam,1.1156683466653166e-06,7.053371906280518
12,adam,1.1268250301319698e-06,7.055660247802734
13,adam,1.1380932804332895e-06,7.044366836547852
14,adam,1.1494742132376223e-06,7.039229869842529
15,adam,1.1609689553699985e-06,7.02690315246582
16,adam,1.1725786449236986e-06,7.018947601318359
17,adam,1.1843044313729356e-06,7.039689064025879
18,adam,1.1961474756866649e-06,6.987899303436279
19,adam,1.2081089504435314e-06,6.9911909103393555
20,adam,1.2201900399479668e-06,6.960463047027588
21,adam,1.2323919403474466e-06,6.972989559173584
22,adam,1.2447158597509211e-06,6.982439994812012
23,adam,1.2571630183484303e-06,6.966789245605469
24,adam,1.2697346485319147e-06,6.940889358520508
25,adam,1.2824319950172339e-06,6.968866348266602
26,adam,1.2952563149674061e-06,6.920187950134277
27,adam,1.3082088781170801e-06,6.929197311401367
28,adam,1.321290966898251e-06,6.914194583892822
29,adam,1.3345038765672334e-06,6.91010856628418
30,adam,1.3478489153329057e-06,6.9136738777160645
31,adam,1.3613274044862347e-06,6.8910908699035645
32,adam,1.374940678531097e-06,6.903757095336914
33,adam,1.388690085316408e-06,6.890956878662109
34,adam,1.402576986169572e-06,6.855803966522217
35,adam,1.4166027560312678e-06,6.850620746612549
36,adam,1.4307687835915804e-06,6.843976020812988
37,adam,1.4450764714274963e-06,6.828886985778809
38,adam,1.4595272361417712e-06,6.817255020141602
39,adam,1.474122508503189e-06,6.790544509887695
40,adam,1.4888637335882209e-06,6.784328937530518
41,adam,1.5037523709241031e-06,6.775207996368408
42,adam,1.5187898946333443e-06,6.780640125274658
43,adam,1.5339777935796777e-06,6.774235725402832
44,adam,1.5493175715154744e-06,6.745403289794922
45,adam,1.5648107472306292e-06,6.746917247772217
46,adam,1.5804588547029355e-06,6.725484848022461
47,adam,1.5962634432499648e-06,6.743600845336914
48,adam,1.6122260776824644e-06,6.683323860168457
49,adam,1.6283483384592892e-06,6.733701705932617
50,adam,1.644631821843882e-06,6.69032096862793
51,adam,1.6610781400623208e-06,6.660089015960693
52,adam,1.6776889214629442e-06,6.6640849113464355
53,adam,1.6944658106775735e-06,6.654291152954102
54,adam,1.7114104687843492e-06,6.625585079193115
55,adam,1.7285245734721926e-06,6.621368408203125
56,adam,1.7458098192069145e-06,6.615403652191162
57,adam,1.7632679173989838e-06,6.59657096862793
58,adam,1.7809005965729735e-06,6.601562023162842
59,adam,1.7987096025387033e-06,6.565671920776367
60,adam,1.8166966985640905e-06,6.558610916137695
