epoch,test_accuracy
1,0.4322333333333333
2,0.5709000000000001
3,0.6177
4,0.6837
5,0.7099666666666667
6,0.7551333333333332
7,0.7721666666666667
8,0.7925333333333334
9,0.7935333333333333
10,0.8071999999999999
11,0.8169333333333334
12,0.8178666666666667
13,0.8288333333333333
14,0.8410000000000001
15,0.8291666666666667
16,0.8455333333333334
17,0.8521333333333333
18,0.8475333333333334
19,0.8520333333333334
20,0.8621333333333333
21,0.8903
22,0.8921666666666667
23,0.8887666666666666
24,0.8923666666666666
25,0.8918666666666667
26,0.8904333333333333
27,0.8929
28,0.8931333333333334
29,0.8910333333333335
30,0.8884333333333334
31,0.8990666666666667
32,0.9001666666666667
33,0.8992
34,0.9
35,0.8997666666666667
36,0.8993666666666668
37,0.9001333333333333
38,0.8991000000000001
39,0.8981666666666666
40,0.8987000000000002
41,0.9005000000000001
42,0.8999333333333334
43,0.9003666666666668
44,0.9007999999999999
45,0.9012000000000001
46,0.9008333333333333
47,0.9003333333333333
48,0.9002666666666667
49,0.9007999999999999
50,0.9006
