norm,epoch,train_loss
BN,1,1.8337368410261696
BN,2,1.3212421861146113
BN,3,1.0641655924984867
BN,4,0.8971933761622696
BN,5,0.7742308225015849
BN,6,0.6748627270528219
BN,7,0.5988335609436035
BN,8,0.5403758511518882
BN,9,0.48862872554111564
BN,10,0.4480478800420362
BN,11,0.415184153912419
BN,12,0.38246395840974107
BN,13,0.3537760126163893
BN,14,0.3303555153875603
BN,15,0.309378177861271
BN,16,0.28950509305119204
BN,17,0.2691548181680259
BN,18,0.2528348935915686
BN,19,0.23752202293680755
BN,20,0.22229640817195043
BN,21,0.1491144406184465
BN,22,0.12958085756409093
BN,23,0.1197342104997044
BN,24,0.1114437168230638
BN,25,0.10392517301445316
BN,26,0.09938689881978587
BN,27,0.0934627429301908
BN,28,0.08921379601870295
BN,29,0.08287706771485964
BN,30,0.07893791522525835
BN,31,0.060372182155363
BN,32,0.05451370411507226
BN,33,0.05147966449899246
BN,34,0.04877166982259013
BN,35,0.045637859834258
BN,36,0.04463436616622763
BN,37,0.04350463520514774
BN,38,0.042303061304504334
BN,39,0.040274081328520096
BN,40,0.037961001153431866
BN,41,0.03430782005354403
BN,42,0.032872080594997466
BN,43,0.032357595231739665
BN,44,0.031189494278402563
BN,45,0.03199061454461927
BN,46,0.030097458733107502
BN,47,0.029369952823674533
BN,48,0.0295988933192383
BN,49,0.029074027257608603
BN,50,0.02871747269673877
GN,1,2.4689557119403656
GN,2,1.9403998577381338
GN,3,1.7757292780628189
GN,4,1.62162287836896
GN,5,1.5027995069923303
GN,6,1.3964739690859502
GN,7,1.3092363875133808
GN,8,1.2211175988295704
GN,9,1.142330383705666
GN,10,1.0793993701715299
GN,11,1.0079408220419594
GN,12,0.9444625282124993
GN,13,0.8912760503558347
GN,14,0.8374383541019371
GN,15,0.7935579765432427
GN,16,0.7493881105563626
GN,17,0.7102471256195125
GN,18,0.6701892929156418
GN,19,0.6406533652305196
GN,20,0.6030535085884202
GN,21,0.4593409794650318
GN,22,0.43564594076519225
GN,23,0.4230103512046079
GN,24,0.4095702998448109
GN,25,0.3990196999534012
GN,26,0.3903789241676745
GN,27,0.3801879652752799
GN,28,0.36982948010992206
GN,29,0.36222008190801375
GN,30,0.35554935530984083
GN,31,0.29461813963257344
GN,32,0.2827859526501694
GN,33,0.2770725278229868
GN,34,0.27264683735568807
GN,35,0.26866406697116135
GN,36,0.2621177813230369
GN,37,0.26027402051828497
GN,38,0.25545965369476376
GN,39,0.25089430674999463
GN,40,0.24491549297239867
GN,41,0.22173966307316895
GN,42,0.21914111228321517
GN,43,0.21593512133564177
GN,44,0.21202459713509214
GN,45,0.21114515764710232
GN,46,0.2092246266887011
GN,47,0.20657072652001104
GN,48,0.20552831549016407
GN,49,0.20339559740168564
GN,50,0.20092123184108565
