epoch,norm,train_loss,test_loss,test_accuracy,seed,lr,mm,wd
43,BN,0.0298673614580898,0.4358440913259983,0.9008,479,0.01,0.5,0.0
44,BN,0.0291495827619758,0.4410266269743442,0.9001,479,0.01,0.5,0.0
45,BN,0.0289146989009931,0.4500435143709183,0.9005,479,0.01,0.5,0.0
46,BN,0.027224369569803,0.4418228013813495,0.9004,479,0.01,0.5,0.0
47,BN,0.025764823607181,0.4451763734221458,0.8999,479,0.01,0.5,0.0
48,BN,0.026510110576911,0.4456158939003944,0.8995,479,0.01,0.5,0.0
49,BN,0.0269053006000445,0.4428283779323101,0.901,479,0.01,0.5,0.0
50,BN,0.0269394185193969,0.4464415749907494,0.9,479,0.01,0.5,0.0
1,GN,2.5306564423129383,1.960022515058517,0.2303,0,0.01,0.5,0.0
2,GN,1.924280804441408,1.823568872213364,0.3209,0,0.01,0.5,0.0
3,GN,1.7445872576950152,1.7353120005130769,0.3243,0,0.01,0.5,0.0
4,GN,1.5881536092294757,1.71764248251915,0.3741,0,0.01,0.5,0.0
5,GN,1.4673520253442438,1.5572463381290436,0.4412,0,0.01,0.5,0.0
6,GN,1.3465029097274137,1.6009180843830109,0.4699,0,0.01,0.5,0.0
7,GN,1.2678226259968164,1.2699768769741058,0.5562,0,0.01,0.5,0.0
8,GN,1.157251382880199,1.3807310724258424,0.5263,0,0.01,0.5,0.0
9,GN,1.0825413351168718,1.336604038476944,0.5456,0,0.01,0.5,0.0
10,GN,1.0226818824668065,1.2090773731470108,0.5913,0,0.01,0.5,0.0
11,GN,0.9594595938387428,1.1077151542901993,0.6215,0,0.01,0.5,0.0
12,GN,0.8965974672676047,0.9232205301523208,0.6814,0,0.01,0.5,0.0
13,GN,0.8496065129099599,1.0361789363622664,0.6381,0,0.01,0.5,0.0
14,GN,0.8038352362030302,0.8156364792585373,0.7117,0,0.01,0.5,0.0
15,GN,0.7639181042266319,0.8181327122449875,0.7217,0,0.01,0.5,0.0
16,GN,0.725441531680734,0.912170330286026,0.696,0,0.01,0.5,0.0
17,GN,0.6807151883459457,0.6992802399396897,0.763,0,0.01,0.5,0.0
18,GN,0.6382347536666314,0.7238260772824288,0.7576,0,0.01,0.5,0.0
19,GN,0.6124933929851902,0.7374235641956329,0.755,0,0.01,0.5,0.0
