norm,epoch,test_loss,test_accuracy
BN,1,1.5931635912259423,0.4322333333333333
BN,2,1.2316400533914569,0.5709000000000001
BN,3,1.1461374853054682,0.6177
BN,4,0.9268518225351969,0.6837
BN,5,0.8555041420459748,0.7099666666666667
BN,6,0.7566410829623541,0.7551333333333332
BN,7,0.6816117613514265,0.7721666666666667
BN,8,0.6350206444660822,0.7925333333333334
BN,9,0.6247872943679491,0.7935333333333333
BN,10,0.589957047700882,0.8071999999999999
BN,11,0.5671664867798487,0.8169333333333334
BN,12,0.5739538762966792,0.8178666666666667
BN,13,0.5441985940933227,0.8288333333333333
BN,14,0.5129459205766519,0.8410000000000001
BN,15,0.5511803887287776,0.8291666666666667
BN,16,0.5078986279169718,0.8455333333333334
BN,17,0.48209193016091983,0.8521333333333333
BN,18,0.5006155007580916,0.8475333333333334
BN,19,0.49712883661190665,0.8520333333333334
BN,20,0.46140211453040436,0.8621333333333333
BN,21,0.3673191060125827,0.8903
BN,22,0.3755149935682614,0.8921666666666667
BN,23,0.39467222397526097,0.8887666666666666
BN,24,0.38448637833197913,0.8923666666666666
BN,25,0.4036006779472033,0.8918666666666667
BN,26,0.4045837274690469,0.8904333333333333
BN,27,0.40928131192922584,0.8929
BN,28,0.41071612551808356,0.8931333333333334
BN,29,0.42059453231592975,0.8910333333333335
BN,30,0.4416561044255893,0.8884333333333334
BN,31,0.40036961210270716,0.8990666666666667
BN,32,0.4035017276803652,0.9001666666666667
BN,33,0.40513231488565604,0.8992
BN,34,0.4148522574702898,0.9
BN,35,0.4195860373973846,0.8997666666666667
BN,36,0.4209421533594529,0.8993666666666668
BN,37,0.42427946632107094,0.9001333333333333
BN,38,0.42660972967743865,0.8991000000000001
BN,39,0.43797949614624176,0.8981666666666666
BN,40,0.43682785915831723,0.8987000000000002
BN,41,0.43057803178826964,0.9005000000000001
BN,42,0.4331688060363133,0.8999333333333334
BN,43,0.4336731127649545,0.9003666666666668
BN,44,0.4330055843790372,0.9007999999999999
BN,45,0.437916628892223,0.9012000000000001
BN,46,0.437764298915863,0.9008333333333333
BN,47,0.4387271689871946,0.9003333333333333
BN,48,0.4407000548640887,0.9002666666666667
BN,49,0.4375230148931344,0.9007999999999999
BN,50,0.43949080313245453,0.9006
GN,1,2.0044281752904256,0.2316
GN,2,1.8226140554745995,0.31960000000000005
GN,3,1.8853156562646232,0.3252
GN,4,1.7074824357032776,0.3838
GN,5,1.5714420096079509,0.4454666666666667
GN,6,1.5778443582852681,0.45693333333333336
GN,7,1.397388560771942,0.5112
GN,8,1.280316089987755,0.5458666666666666
GN,9,1.2531172446409862,0.5689
GN,10,1.1611647280057271,0.5860333333333334
GN,11,1.1180703075726826,0.6133000000000001
GN,12,1.0406884348392484,0.6451666666666667
GN,13,0.9762484447161356,0.6547666666666667
GN,14,0.8925560480356216,0.6940333333333334
GN,15,0.8717959566911061,0.7004333333333334
GN,16,0.9358023738861085,0.6808333333333333
GN,17,0.8113644073406855,0.7215666666666666
GN,18,0.767526364227136,0.7442333333333334
GN,19,0.7756643058856328,0.7410666666666668
GN,20,0.6782260677218437,0.7700333333333335
GN,21,0.5518901074926058,0.8111
GN,22,0.5336741590499878,0.8198
GN,23,0.5400319967667263,0.8155000000000001
GN,24,0.5362665660182634,0.8178000000000001
GN,25,0.5393935018281142,0.8159333333333333
GN,26,0.5097575612862905,0.8271666666666667
GN,27,0.5126375750203928,0.8262
GN,28,0.5235047965248426,0.8249333333333334
GN,29,0.5159510420759519,0.8250666666666667
GN,30,0.48644405285517367,0.8346666666666666
GN,31,0.4499630080660184,0.8506
GN,32,0.45829990421732264,0.8470333333333334
GN,33,0.4522556781768799,0.8512
GN,34,0.4444524448116621,0.8527666666666667
GN,35,0.4662646640837192,0.8484000000000002
GN,36,0.4656196325520674,0.8489666666666666
GN,37,0.4659810745219389,0.8489000000000001
GN,38,0.4508414162695407,0.8532666666666667
GN,39,0.45200834800799683,0.8530000000000001
GN,40,0.46195057128866507,0.8499333333333333
GN,41,0.4376487095654011,0.8586
GN,42,0.4423487376173337,0.8566666666666668
GN,43,0.4401128130157788,0.8583
GN,44,0.4386163046459357,0.8592333333333334
GN,45,0.44674733261267346,0.8566666666666668
GN,46,0.4430816430350144,0.8573333333333334
GN,47,0.4396991462012132,0.8599666666666667
GN,48,0.4351714593172073,0.8618333333333333
GN,49,0.4411187563836574,0.8605333333333333
GN,50,0.4415465436379115,0.8598666666666667
