round,epoch,train_loss,train_acc
0,0,10.361369710829523,18.166594134436714
0,1,1.1950466202365027,21.141171561347115
0,2,1.182107322745853,19.7850567234887
0,3,1.174482822418213,18.860288196139866
0,4,1.1692050480180316,18.775436904695297
0,5,1.1651195469829772,18.689697557025486
0,6,1.1621233920256298,18.628372377819485
0,7,1.159468920694457,18.687070714102852
0,8,1.1568885876072779,18.858547290166218
0,9,1.154864137371381,18.640957170062595
1,0,1.2152471771607032,16.540169544709034
1,1,1.215831654194074,16.92985969934708
1,2,1.2109293693151228,16.684983033400314
1,3,1.2073607291930761,16.55010057106996
1,4,1.20517714206989,16.351601184942783
1,5,1.2022019624710083,16.3297480069674
1,6,1.2003776599199345,16.14411764878493
1,7,1.1981374697807508,16.29150503109663
1,8,1.1967089863923879,16.00304349263509
1,9,1.1953311088757637,16.376839760022285
2,0,1.2409741420012255,14.320592733529898
2,1,1.2602675282038176,14.594803865139301
2,2,1.2564946183791528,14.973915741993832
2,3,1.2551704599307134,14.956992075993465
2,4,1.2513502102631788,15.277504902619581
2,5,1.249212961930495,15.236759259150578
2,6,1.2454497447380652,15.363725662231445
2,7,1.2438124326559215,15.695271785442646
2,8,1.2432864904403687,15.78693096454327
2,9,1.2411347994437585,15.386492142310509
3,0,1.2426840621371602,18.106396874716115
3,1,1.2125691120014634,20.323223513226175
3,2,1.2104906287304191,19.11014800847963
3,3,1.2003551167111064,21.229047863982444
3,4,1.1885330261186111,21.868669687315474
3,5,1.1958605605502461,22.05710930048033
3,6,1.1830513810002528,22.37324297705362
3,7,1.1595608176187027,23.447196827378384
3,8,1.1491674739261006,23.056907786879428
3,9,1.1470505900161212,23.904457358426825
4,0,1.3285880669167167,19.010852010626543
4,1,1.2613869089829295,20.217186476054945
4,2,1.2572658407060724,20.134486700359144
4,3,1.2535084109557302,20.347011415581953
4,4,1.2494947329947823,20.42638241617303
4,5,1.2465310379078514,20.69711087879382
4,6,1.2404627078457882,20.882966593692178
4,7,1.2375180297776271,20.839979121559544
4,8,1.2331992983818054,20.68247782556634
4,9,1.2264539662160372,20.756037185066624
5,0,1.2360427975654602,22.061363929925964
5,1,1.2199871235115582,22.4018115553745
5,2,1.1963714513667794,22.46801704584166
5,3,1.2088095670522645,22.74677462910497
5,4,1.1824297267337178,23.42432383603828
5,5,1.141357613164325,24.68175848140273
5,6,1.12481521451196,24.93887710571289
5,7,1.1070759920186775,25.242701641348905
5,8,1.0991348901460336,25.537658292193747
5,9,1.0921461651491564,25.67804797860079
6,0,1.0970187795405486,25.576617318756725
6,1,1.0841134494664717,25.337099386721242
6,2,1.080870153952618,25.58734909369021
6,3,1.0727243301819782,26.109894460561325
6,4,1.0651324160245,26.439144679478236
6,5,1.0676934719085693,26.61901298834353
6,6,1.0601068783779533,27.36315287375937
