round,epoch,train_loss,train_acc
0,0,2.6909511759877205,30.95096974372864
0,1,1.211760264635086,30.292968654632567
0,2,1.157386128604412,32.21174545288086
0,3,1.143860399723053,33.83418617248535
0,4,1.1295646771788597,35.51589412689209
0,5,1.1156393423676492,35.24447727203369
0,6,1.1073622554540634,35.17443428039551
0,7,1.0882436871528625,35.179148483276364
0,8,1.087011770904064,35.044450187683104
0,9,1.0785878360271455,34.57839431762695
1,0,1.126619790494442,35.36705265045166
1,1,1.1623392537236215,34.410021257400516
1,2,1.161292177438736,34.35210099220276
1,3,1.1473680496215821,33.252963066101074
1,4,1.117009884119034,35.7044716835022
1,5,1.1162329375743867,38.32031216621399
1,6,1.1514918938279153,33.826777935028076
1,7,1.1626474037766457,33.3937228679657
1,8,1.1780353158712387,34.11233815252781
1,9,1.1427207097411156,34.067214022576806
2,0,1.2560560658574105,17.408405084908008
2,1,1.2851123467087746,15.906519386172295
2,2,1.2789156898856162,15.541486912965775
2,3,1.2779147669672966,17.63671867400408
2,4,1.2751117944717407,15.364358825981617
2,5,1.2618553891777993,15.823006463050842
2,6,1.2572626546025276,14.893588240444661
2,7,1.2610469147562982,16.970635843276977
2,8,1.263604362308979,17.844153881072998
2,9,1.2761372223496437,16.91136851608753
3,0,1.2343868926167487,29.874730426073075
3,1,1.2218868836760521,29.67739750891924
3,2,1.210254853963852,28.320312443375588
3,3,1.2019168198108674,29.218749876320363
3,4,1.197264839708805,29.138604290783405
3,5,1.1984303832054137,29.3312228679657
3,6,1.1840527400374412,30.24717106372118
3,7,1.1734514772891997,29.566944833099843
3,8,1.1648340731859208,33.644261725246906
3,9,1.152517917752266,32.425242215394974
4,0,1.1758599326014518,26.434536468982696
4,1,1.169186817854643,25.292968702316283
4,2,1.145546044409275,26.853448314964773
4,3,1.1242837384343147,27.815193796157835
4,4,1.1381116211414337,28.2684534072876
4,5,1.1066367372870445,30.66877679824829
4,6,1.10678278952837,31.121363182365894
4,7,1.1091584414243698,29.659213085472583
4,8,1.0982611298561096,30.936826515197755
4,9,1.0811864465475083,32.61314640045166
5,0,1.413412395119667,15.33876613676548
5,1,1.38391315639019,22.805765028297902
5,2,1.370496964454651,23.353986997902393
5,3,1.363185065984726,23.52842118293047
5,4,1.3534985333681107,23.878636732697487
5,5,1.3444150686264038,24.17968739569187
5,6,1.3364831820130347,24.719154082238674
5,7,1.3283602386713027,25.187904082238674
5,8,1.3207561314105987,25.834455779194833
5,9,1.3105695709586143,26.268857675790787
6,0,1.2449073567986488,24.021416941285132
6,1,1.164193107187748,20.9381734251976
6,2,1.1489112123847007,23.19504311084747
6,3,1.1453684583306312,24.186422061920165
6,4,1.1187967479228973,26.305226159095763
6,5,1.1023794203996657,27.699353206157685
6,6,1.0856097474694253,28.735856437683104
6,7,1.0727674439549446,30.082839214801787
6,8,1.058965766429901,31.701239049434662
6,9,1.046663983166218,32.97683175802231
7,0,1.258287188410759,23.546605587005615
7,1,1.2048255532979966,27.128232622146605
7,2,1.186695073544979,28.808593463897704
7,3,1.1741097956895827,28.647629165649413
7,4,1.1490227073431014,31.5773166179657
7,5,1.135941207408905,31.64533910751343
7,6,1.1072018638253212,33.49676699638367
7,7,1.089366640150547,34.23626050949097
7,8,1.0674018874764442,35.79337272644043
7,9,1.0603972777724266,37.25552220344544
8,0,1.1920271441340446,24.678744554519653
8,1,1.1637698128819465,27.318157052993776
8,2,1.1353656962513923,28.38698801994324
8,3,1.1330035150051116,28.928475069999696
8,4,1.0961366817355156,30.38793079853058
8,5,1.0950732842087745,30.208108735084533
8,6,1.0678853005170823,31.986126089096068
8,7,1.0420497082173825,33.90288240909577
8,8,1.0152886740863323,36.67901382446289
8,9,1.0077287763357163,37.34307627677917
9,0,1.325855752825737,13.408539736270905
9,1,1.2295767828822135,23.346578462421895
9,2,1.1910702407360076,24.472656148672105
9,3,1.1720421090722084,25.526669991016387
9,4,1.1559795320034028,27.186826276779176
9,5,1.1771674260497094,30.51791468858719
9,6,1.174181915819645,26.01764541864395
9,7,1.1390720710158349,27.471713173389436
9,8,1.1156727448105812,28.38631443977356
9,9,1.0897672578692437,31.385371589660643
10,0,1.0854467689990996,37.47103967666626
10,1,1.052462351322174,38.96214962005615
10,2,1.040063750743866,38.694773602485654
10,3,1.0320251017808915,40.02626600265503
10,4,1.0125932216644287,40.756330490112305
10,5,0.9901909396052361,42.2279091835022
10,6,0.9760687798261642,43.28596429824829
10,7,0.9536022797226906,44.63631448745728
10,8,0.9414186999201775,44.72117433547974
10,9,0.9164667695760726,45.776535224914554
11,0,1.093455584347248,36.05603446960449
11,1,1.0568180203437805,40.55495684146881
11,2,1.109261293709278,36.7753231883049
11,3,1.0420989088714123,39.89493525028229
11,4,1.0734578579664231,38.83890063762665
11,5,1.0768429934978485,37.070985889434816
11,6,1.0724780708551407,38.04013993293047
11,7,1.0781734839081765,40.327990126609805
11,8,1.0885515093803406,37.021820867061614
11,9,1.0890034295618534,35.950296306610106
12,0,1.3112832605838776,26.98679941892624
12,1,1.2251028329133988,31.75175106525421
12,2,1.1807420000433921,32.97144376039505
12,3,1.1508948862552644,33.91163774728775
12,4,1.1301692128181458,34.388469660282134
12,5,1.1126328244805337,35.303744602203366
12,6,1.0998120933771134,36.20891671180725
12,7,1.0891714438796043,36.652747774124144
12,8,1.0791759222745896,37.20366349220276
12,9,1.0716149553656578,37.98558712005615
13,0,1.2547599345445632,34.69760219603777
13,1,1.1296626836061479,35.15355579406023
13,2,1.054280938208103,36.074892088770866
13,3,1.0150579631328582,37.41648692190647
13,4,0.9987374186515808,38.990436187386514
13,5,0.98114023655653,39.13658403456211
13,6,0.9756708756089211,39.76091060936451
13,7,0.9666241943836212,41.12473050653934
13,8,0.9608735278248787,41.55509123802185
13,9,0.9463339492678642,42.61314638853073
14,0,1.3410084649920464,12.16931564360857
14,1,1.163263127207756,27.382138860225677
14,2,1.1083450987935066,31.010236942768096
14,3,1.0767202198505401,32.87513464093208
14,4,1.0547333553433418,34.22952570915222
14,5,1.0384383842349052,36.15571089833975
14,6,1.029190056025982,36.885102243721484
14,7,1.0212197437882424,37.566675558686256
14,8,1.0156439036130904,37.90880914330482
14,9,1.006713393330574,38.79983828663826
15,0,1.3852458477020264,26.369207900762557
15,1,1.2213990792632103,37.49999974966049
15,2,1.141253687441349,38.96821112632752
15,3,1.0987818524241448,40.078798627853395
15,4,1.0750405088067054,40.87621207237244
15,5,1.0576539382338523,42.004310083389285
15,6,1.0480486690998077,42.190193843841556
15,7,1.0314681082963943,42.84145994186402
15,8,1.0202825605869292,43.1620418548584
15,9,1.0053855001926422,43.72440719604492
16,0,1.2823799803853035,30.223599076271057
16,1,1.1610419496893882,34.86732208281755
16,2,1.1156189382076263,37.37068958282471
16,3,1.0905009806156158,39.18776925802231
16,4,1.0757135242223739,40.309132516384125
16,5,1.0645773112773895,40.8607219338417
16,6,1.0557785868644713,41.18332427740097
16,7,1.0491343811154366,41.6251345038414
16,8,1.0430039450526238,41.75444499254227
16,9,1.037986981868744,41.95177794694901
17,0,1.1491703659296035,46.18130354881286
17,1,0.9526465237140656,47.43399769812822
17,2,0.9099253341555595,47.946524584293364
17,3,0.886105740070343,49.092133378982545
17,4,0.8755794957280159,49.21740279197693
17,5,0.8547985672950744,50.92941777706146
17,6,0.8391561433672905,51.43992409706116
17,7,0.8261530607938766,52.02249441146851
17,8,0.8147936329245568,53.16406226158142
17,9,0.8014380142092705,54.120419931411746
18,0,1.3654243737459182,11.246632444858552
18,1,1.1880285352468491,16.582031267881394
18,2,1.1302450135350228,31.58203117251396
18,3,1.0996025159955025,38.55468746423721
18,4,1.0818601682782174,40.330010789632794
18,5,1.0692876532673836,41.825834894180296
18,6,1.0596158728003502,42.61853430271149
18,7,1.0507742375135423,43.57960659265518
18,8,1.0421994253993034,45.26804940700531
18,9,1.0339398875832557,46.395473790168765
19,0,1.2273954287171365,31.941675412654877
19,1,1.0906749784946441,35.715247774124144
19,2,1.0412489905953408,35.58256988823414
19,3,1.0115954503417015,36.31330803185701
19,4,0.9930942758917809,38.09603958427906
19,5,0.9761111259460449,39.397898614406586
19,6,0.9636948585510254,40.94423472881317
19,7,0.9576029285788537,42.20366367101669
19,8,0.9429227009415626,44.34469270706177
19,9,0.9287409320473671,45.800107431411746
