round,epoch,train_loss,train_acc
0,0,6.462833595275879,10.684940659999848
0,1,1.1668076664209366,11.699218702316283
0,2,1.1635145545005798,12.17403016090393
0,3,1.1614932596683503,12.594288754463197
0,4,1.1600069284439087,13.180899715423584
0,5,1.158794140815735,13.308189606666565
0,6,1.1577630460262298,13.63213894367218
0,7,1.1567896246910094,13.83351285457611
0,8,1.1558740139007568,14.140624952316283
0,9,1.1549931108951568,14.193157267570495
1,0,1.1943769037723542,13.892106676101685
1,1,1.1924236118793488,14.554822206497192
1,2,1.1904179751873016,14.72858293056488
1,3,1.1875817507505417,15.076777982711793
1,4,1.1830360144376755,15.866783404350281
1,5,1.1755322426557542,16.313981676101683
1,6,1.169511792063713,16.096443915367125
1,7,1.1574952512979508,16.206223034858702
1,8,1.1645842164754867,15.97858293056488
1,9,1.1402582794427871,16.64264545440674
2,0,1.1636261761188507,16.58607213497162
2,1,1.1287832796573638,18.626077556610106
2,2,1.163750383257866,18.28057644367218
2,3,1.1042069405317307,20.63038787841797
2,4,1.087555754184723,22.48181562423706
2,5,1.078447413444519,23.605199241638182
2,6,1.071247386932373,24.27599663734436
2,7,1.0656205415725708,25.274110889434816
2,8,1.0600385159254073,26.522763872146605
2,9,1.0548762828111649,27.407731580734254
3,0,1.0805575758218766,26.363146424293518
3,1,1.0615428403019904,28.0475483417511
3,2,1.0510499864816665,28.870554876327514
3,3,1.0454397961497306,29.38038787841797
3,4,1.041107104718685,29.90032320022583
3,5,1.0371046006679534,30.604121732711793
3,6,1.0332029923796653,30.96174564361572
3,7,1.030064085125923,31.510641050338744
3,8,1.0273793533444404,32.225888919830325
3,9,1.0235503152012826,32.474407243728635
4,0,1.0511720865964889,29.23221974372864
4,1,1.027797269821167,30.559671306610106
4,2,1.0203548938035965,31.62513451576233
4,3,1.0149646714329719,31.955818843841552
4,4,1.009155496954918,32.74515066146851
4,5,1.004679799079895,33.128367233276364
4,6,1.000422902405262,33.52909464836121
4,7,0.9966876894235611,34.150727319717404
4,8,0.9933827951550483,34.80738139152527
4,9,0.9896802946925163,35.69302258491516
5,0,1.0062586799263955,32.48989758491516
5,1,0.9945224717259407,33.156654024124144
5,2,0.9872414380311966,33.6664870262146
5,3,0.9836173430085182,34.26050643920898
5,4,0.9796515196561814,34.96901931762695
5,5,0.9762510821223259,35.63846988677979
5,6,0.9757432118058205,35.58795790672302
5,7,0.9604322910308838,36.981411647796634
5,8,0.9817143350839614,37.11678323745728
5,9,0.9625099837779999,38.38564100265503
6,0,0.9887797564268113,34.09213352203369
6,1,0.9823424413800239,35.32731680870056
6,2,0.9661339953541755,36.936287593841556
6,3,0.9604322806000709,37.51481685638428
6,4,0.9552562549710274,38.613281059265134
6,5,0.9545027822256088,39.500269412994385
6,6,0.944839495420456,40.54687490463257
6,7,0.9422297939658165,40.630387687683104
6,8,0.9282126352190971,42.09657859802246
6,9,0.9293537527322769,42.81384677886963
7,0,0.9654329851269722,38.0919988155365
7,1,0.9495453059673309,39.41204195022583
7,2,0.9334676250815391,40.7206356048584
7,3,0.9315704300999641,41.808997583389285
7,4,0.920773521065712,42.90140070915222
7,5,0.9217602550983429,44.14803333282471
7,6,0.915705269575119,45.00134677886963
7,7,0.9042779952287674,46.00754289627075
7,8,0.8970266610383988,47.21376609802246
7,9,0.8948727309703827,48.71093721389771
8,0,0.9581384569406509,39.79458498954773
8,1,0.9358766660094261,41.65678853988648
8,2,0.9233865737915039,43.200430965423585
8,3,0.928789472579956,44.12917556762695
8,4,0.9115220546722412,45.687634563446046
8,5,0.9031047314405442,47.174029970169066
8,6,0.9096910208463669,47.68925085067749
8,7,0.8862399950623512,48.508216381073
8,8,0.8808267503976822,50.26131448745728
8,9,0.8944700732827187,50.05118522644043
9,0,0.9384585291147232,40.96713352203369
9,1,0.914996337890625,43.86112594604492
9,2,0.8963261350989342,46.384024715423585
9,3,0.8852264553308486,48.14318399429321
9,4,0.8834442630410194,49.15611515045166
9,5,0.8800284191966057,50.62567319869995
9,6,0.8741065874695778,51.37526922225952
9,7,0.8621552675962448,53.781653881073
9,8,0.8532940194010734,54.027478313446046
9,9,0.8542829930782319,54.671335983276364
10,0,0.9276497647166252,41.92147083282471
10,1,0.900824299454689,45.22427253723144
10,2,0.8783285528421402,47.69733285903931
10,3,0.8732902735471726,49.4901668548584
10,4,0.8645697683095932,51.775996398925784
10,5,0.8565854668617249,52.30536069869995
10,6,0.8515729755163193,53.92847499847412
10,7,0.8623145923018456,53.94598579406738
10,8,0.844183212518692,56.061422157287595
10,9,0.8262288436293602,58.51831874847412
11,0,0.9198603600263595,43.242187309265134
11,1,0.8808318480849266,47.44275302886963
11,2,0.8578936770558357,50.03300085067749
11,3,0.8665046289563179,51.6386043548584
11,4,0.8484614238142967,54.07125520706177
11,5,0.8478771820664406,56.18736505508423
11,6,0.8429617077112198,57.22521533966064
11,7,0.8454502627253533,58.38698806762695
11,8,0.8294359847903252,59.72790937423706
11,9,0.804579159617424,62.1450698852539
12,0,0.8850348636507988,46.6439923286438
12,1,0.8565584242343902,49.80131998062134
12,2,0.8427243694663048,52.04741373062134
12,3,0.832025782763958,53.54458484649658
12,4,0.8229813024401664,54.98518304824829
12,5,0.8148317620158195,56.42780160903931
12,6,0.8072668865323067,57.7040675163269
12,7,0.8000069454312324,58.74797925949097
12,8,0.7930702909827232,60.07745122909546
12,9,0.7862719863653183,61.04525842666626
13,0,0.8821052193641663,46.33283929824829
13,1,0.8629995703697204,48.56950416564941
13,2,0.8501380264759064,50.30711183547974
13,3,0.8398540779948235,51.75377140045166
13,4,0.830913470685482,53.43076486587525
13,5,0.8227559477090836,54.90840473175049
13,6,0.8149348124861717,56.316002178192136
13,7,0.8073847383260727,57.76804943084717
13,8,0.8000770166516304,59.11839952468872
13,9,0.7928953006863594,60.72535018920898
14,0,0.8724894538521767,47.34038228988648
14,1,0.8546136856079102,50.02963352203369
14,2,0.8410254344344139,51.94504280090332
14,3,0.8300368696451187,53.50282859802246
14,4,0.8201489582657814,55.440463066101074
