round,epoch,train_loss,train_acc
0,0,10.972654755413533,33.099407005310056
0,1,1.016578072309494,41.2015082359314
0,2,1.0258133992552758,41.715382194519044
0,3,1.0377690836787223,39.885506057739256
0,4,1.0459419399499894,38.74730587005615
0,5,1.0575312092900275,37.75053853988648
0,6,1.0682086586952209,34.641702270507814
0,7,1.0716641023755074,34.63496732711792
0,8,1.0776724949479104,33.9345362663269
0,9,1.0828175619244576,34.236933898925784
1,0,1.1047210112214088,38.40584573745728
1,1,1.1788680657744408,32.59832954406738
1,2,1.1931930944323539,30.75431022644043
1,3,1.1994692742824555,29.213361930847167
1,4,1.2114201694726945,27.879175472259522
1,5,1.2172689482569694,27.04202573299408
1,6,1.223468181490898,25.744207882881163
1,7,1.230211393535137,25.11314649581909
1,8,1.2318841069936752,24.329202538728715
1,9,1.2324393272399903,23.95002679824829
2,0,1.2890851691365242,14.399919033050537
2,1,1.329771213233471,14.731950283050537
2,2,1.3312305137515068,16.294450283050537
2,3,1.329147008061409,17.017106533050537
2,4,1.3302237257361411,17.271012783050537
2,5,1.3274851858615875,17.815867328643797
2,6,1.3270424619317054,18.067079544067383
2,7,1.3297070026397706,15.234374856948852
2,8,1.3246921181678772,17.739762783050537
2,9,1.3245053216814995,17.740436267852782
3,0,1.3163395911455154,23.117591381072998
3,1,1.3126747280359268,19.577720832824706
3,2,1.3118497252464294,19.33324327468872
3,3,1.3109752342104912,19.331223011016846
3,4,1.3097082659602166,19.593211078643797
3,5,1.3085433185100555,20.114493370056152
3,6,1.3067706868052482,20.682920074462892
3,7,1.3088311105966568,20.264682054519653
3,8,1.30990629196167,20.090247678756715
3,9,1.309514692425728,20.41015601158142
4,0,1.3250563755631446,18.931842577457427
4,1,1.2986201986670494,19.278690576553345
4,2,1.2962963059544563,18.743938434123994
4,3,1.290845949947834,19.59725215435028
4,4,1.284157246351242,19.961610865592956
4,5,1.2822316721081735,19.853852295875548
4,6,1.286563368141651,19.72319475412369
4,7,1.2804263517260552,20.042429757118224
4,8,1.2739965364336967,20.256599879264833
4,9,1.2709058836102485,20.52869074344635
5,0,1.4388954997062684,12.89938039779663
5,1,1.457967644929886,14.570312491059303
5,2,1.4765950798988343,13.609240198135376
5,3,1.478553193807602,14.96969289779663
5,4,1.4782910853624345,15.442483854293823
5,5,1.4780609726905822,15.231007528305053
5,6,1.4774419069290161,15.127963280677795
5,7,1.480087012052536,14.537311382591724
5,8,1.4770268738269805,14.969019317626953
5,9,1.478278186917305,15.074084043502808
6,0,1.2661708176136017,22.947871589660643
6,1,1.3100174248218537,18.378232660889626
6,2,1.3066487327218055,19.14264545440674
6,3,1.3066001862287522,19.897629284858702
6,4,1.3041623100638389,19.553475108742713
6,5,1.3001757621765138,19.331896471977235
6,6,1.296688938140869,19.294854485988616
6,7,1.3040972977876664,19.541352379322053
6,8,1.296540802717209,19.58176177740097
6,9,1.2887817457318307,19.23154624700546
7,0,1.3632732093334199,12.377424520254134
7,1,1.3447625204920768,14.811422447860242
7,2,1.3671631395816803,13.971578589081764
7,3,1.3753069996833802,13.57421866506338
7,4,1.3760833591222763,15.242456820607185
7,5,1.3699102774262428,16.75107747167349
7,6,1.362648069858551,17.88388995677233
7,7,1.3541840106248855,18.538523602485657
7,8,1.3395180821418762,19.74272620677948
7,9,1.3453707486391067,19.33997838497162
8,0,1.25912606716156,21.69181029200554
8,1,1.2938931718468667,22.1275592148304
8,2,1.3001093611121177,21.959186470508577
8,3,1.3071212396025658,21.34159474670887
8,4,1.303823946416378,21.549030041694643
8,5,1.2997684627771378,21.983432030677797
8,6,1.3124548316001892,21.55509151518345
8,7,1.3054735854268074,21.058728428184985
8,8,1.3059673115611077,21.34428874999285
8,9,1.291444605588913,21.305226269364358
9,0,1.293446198105812,20.8997843503952
9,1,1.2346455737948419,28.749326252937315
9,2,1.2800909206271172,24.073949265480042
9,3,1.3295643657445908,22.298625910282134
9,4,1.3199252754449844,22.140355491638182
