round,epoch,train_loss,train_acc,norm,independence,balancement,seed
14,7,0.9863191587009056,0.4506807673745975,BN,noniid,unbalanced,0
14,8,1.0316331320387966,0.4685905454281275,BN,noniid,unbalanced,0
14,9,0.9868888654260856,0.4632678016161036,BN,noniid,unbalanced,0
14,10,0.9921566218375356,0.4856922449230108,BN,noniid,unbalanced,0
15,1,1.137191222903082,0.3348309196795827,BN,noniid,unbalanced,0
15,2,1.017960657401928,0.4095011869784119,BN,noniid,unbalanced,0
15,3,0.9840518289596332,0.3959359413324989,BN,noniid,unbalanced,0
15,4,1.004299221710907,0.4250578240318742,BN,noniid,unbalanced,0
15,5,0.9933882870921802,0.3932762878315218,BN,noniid,unbalanced,0
15,6,0.9705688838852772,0.459611256823872,BN,noniid,unbalanced,0
15,7,0.9292501654768632,0.4548809427937869,BN,noniid,unbalanced,0
15,8,0.9431532031933356,0.4528088348537702,BN,noniid,unbalanced,0
15,9,0.9109283848111251,0.4750593592641383,BN,noniid,unbalanced,0
15,10,0.9462869356738788,0.4532832588138583,BN,noniid,unbalanced,0
16,1,1.140936304316695,0.2983135629322154,BN,noniid,unbalanced,0
16,2,1.0412682219686236,0.3841771721639037,BN,noniid,unbalanced,0
16,3,0.9732884440919408,0.3169358559612706,BN,noniid,unbalanced,0
16,4,0.9355243518844248,0.355823851392718,BN,noniid,unbalanced,0
16,5,0.9269286128757211,0.3999280552396309,BN,noniid,unbalanced,0
16,6,0.9035442368017024,0.4997002081262046,BN,noniid,unbalanced,0
16,7,0.92058781095145,0.4498798878756124,BN,noniid,unbalanced,0
16,8,0.903059916536134,0.4497933195083096,BN,noniid,unbalanced,0
16,9,0.8671739037375156,0.5182743242566369,BN,noniid,unbalanced,0
16,10,0.9043726114469643,0.5264152133782823,BN,noniid,unbalanced,0
17,1,1.1905539926766735,0.2401026795199313,BN,noniid,unbalanced,0
17,2,1.0252608694929142,0.3795598684714726,BN,noniid,unbalanced,0
17,3,0.9917334373204336,0.3812113558744867,BN,noniid,unbalanced,0
17,4,0.9683459324212472,0.407879928078378,BN,noniid,unbalanced,0
17,5,0.9636641527135452,0.4419815688224309,BN,noniid,unbalanced,0
17,6,0.9603187804811176,0.4273520934287984,BN,noniid,unbalanced,0
17,7,0.9287125614215664,0.4543313870704781,BN,noniid,unbalanced,0
17,8,0.926262676890785,0.4708666657121924,BN,noniid,unbalanced,0
17,9,0.8980236475286391,0.5089505516846362,BN,noniid,unbalanced,0
17,10,0.8900324131872032,0.4833888214283706,BN,noniid,unbalanced,0
18,1,1.0812793733989627,0.2762773228338335,BN,noniid,unbalanced,0
18,2,0.968539605429517,0.2795415412912422,BN,noniid,unbalanced,0
18,3,0.9411609216684298,0.3611573375525293,BN,noniid,unbalanced,0
18,4,0.9592584576371976,0.4212361357039604,BN,noniid,unbalanced,0
18,5,0.891976851424516,0.4224546199216336,BN,noniid,unbalanced,0
18,6,0.91060178564198,0.4241734076636106,BN,noniid,unbalanced,0
18,7,0.903805840820495,0.4462820440776321,BN,noniid,unbalanced,0
18,8,0.8741189548726822,0.4914638783155847,BN,noniid,unbalanced,0
18,9,0.8752464790273539,0.5629115567405942,BN,noniid,unbalanced,0
18,10,0.8309236241345258,0.4922951975506184,BN,noniid,unbalanced,0
19,1,1.0151820658342516,0.3500841832322893,BN,noniid,unbalanced,0
19,2,0.9306656566097766,0.514716522746708,BN,noniid,unbalanced,0
19,3,0.9296719074908716,0.4624580562748445,BN,noniid,unbalanced,0
19,4,0.894096070493162,0.5406830709654902,BN,noniid,unbalanced,0
19,5,0.8737020557202433,0.5065931930246019,BN,noniid,unbalanced,0
19,6,0.8381612815820129,0.5710460282666036,BN,noniid,unbalanced,0
19,7,0.8520626283370313,0.5754534150721009,BN,noniid,unbalanced,0
19,8,0.8167789065879631,0.5440944713782918,BN,noniid,unbalanced,0
19,9,0.8303120842608243,0.656636778258201,BN,noniid,unbalanced,0
19,10,0.7794255059746865,0.5777970032557509,BN,noniid,unbalanced,0
20,1,1.0450779840969342,0.3336375905624121,BN,noniid,unbalanced,0
20,2,0.9692890165313814,0.3888280936459727,BN,noniid,unbalanced,0
20,3,0.9089730139781173,0.5160254916613528,BN,noniid,unbalanced,0
20,4,0.920040606846702,0.5157035849658234,BN,noniid,unbalanced,0
20,5,0.9024254501544452,0.5278044796749872,BN,noniid,unbalanced,0
20,6,0.8704840108472915,0.5445752370052226,BN,noniid,unbalanced,0
20,7,0.8475283868191922,0.5293639692327784,BN,noniid,unbalanced,0
20,8,0.8799159020053221,0.5845505168618845,BN,noniid,unbalanced,0
20,9,0.8286060773586527,0.5832063629471325,BN,noniid,unbalanced,0
20,10,0.8450849780813625,0.5640707919527737,BN,noniid,unbalanced,0
21,1,0.9201412831615208,0.4139462941042021,BN,noniid,unbalanced,0
21,2,0.8055245895322476,0.3979452641036562,BN,noniid,unbalanced,0
21,3,0.759803031147012,0.4594541074836936,BN,noniid,unbalanced,0
21,4,0.7411939046617978,0.4952698301917546,BN,noniid,unbalanced,0
21,5,0.7375974798708549,0.565776210196462,BN,noniid,unbalanced,0
21,6,0.7133505802283981,0.525144460608804,BN,noniid,unbalanced,0
21,7,0.7146264131389233,0.5381705594434038,BN,noniid,unbalanced,0
21,8,0.7174817693127822,0.5935960751665809,BN,noniid,unbalanced,0
21,9,0.6621038682557502,0.5716747162527195,BN,noniid,unbalanced,0
21,10,0.646466398791728,0.6851106724550041,BN,noniid,unbalanced,0
22,1,1.1619293983069507,0.2525860955732533,BN,noniid,unbalanced,0
22,2,1.0102030775140745,0.2828732366266474,BN,noniid,unbalanced,0
22,3,0.9922196968160908,0.3270129704182646,BN,noniid,unbalanced,0
22,4,0.9687831398796628,0.3966147795856224,BN,noniid,unbalanced,0
22,5,0.945017473033288,0.3900011759190591,BN,noniid,unbalanced,0
22,6,0.9598322858797954,0.3836484510461801,BN,noniid,unbalanced,0
22,7,0.9249791658864288,0.4369835811765654,BN,noniid,unbalanced,0
22,8,0.8800981231262482,0.3744490510475,BN,noniid,unbalanced,0
22,9,0.8665079891499714,0.4855437901869973,BN,noniid,unbalanced,0
22,10,0.8553809572394411,0.5682798081598207,BN,noniid,unbalanced,0
23,1,1.0702307839706615,0.3567620210431593,BN,noniid,unbalanced,0
23,2,0.907816898662978,0.4113982550201161,BN,noniid,unbalanced,0
23,3,0.9152344157271142,0.4980894983814548,BN,noniid,unbalanced,0
23,4,0.8694018125565248,0.5205156181044563,BN,noniid,unbalanced,0
23,5,0.8556324682328035,0.5627076395885969,BN,noniid,unbalanced,0
23,6,0.8535018578362626,0.5620160892418687,BN,noniid,unbalanced,0
23,7,0.8358485466313186,0.572786931816366,BN,noniid,unbalanced,0
23,8,0.8238542079053264,0.6307151668679887,BN,noniid,unbalanced,0
23,9,0.8165312722954341,0.6106351261656545,BN,noniid,unbalanced,0
23,10,0.8256922038789198,0.6313232760163343,BN,noniid,unbalanced,0
24,1,1.1566146301549571,0.262111787212625,BN,noniid,unbalanced,0
24,2,1.0301160076885068,0.3619901053874115,BN,noniid,unbalanced,0
24,3,0.9858557430108508,0.3757670036843122,BN,noniid,unbalanced,0
24,4,0.9108824004619718,0.4663746960225624,BN,noniid,unbalanced,0
24,5,0.911526647104736,0.5088236862577942,BN,noniid,unbalanced,0
24,6,0.8908934246196417,0.5098566737642765,BN,noniid,unbalanced,0
24,7,0.8799762567593521,0.4927453720912689,BN,noniid,unbalanced,0
24,8,0.8763157516764103,0.5379019548935855,BN,noniid,unbalanced,0
24,9,0.8534166544382048,0.5487236101253813,BN,noniid,unbalanced,0
24,10,0.836883219431049,0.5602543800482571,BN,noniid,unbalanced,0
25,1,1.113107724899653,0.3500500430780059,BN,noniid,unbalanced,0
25,2,1.0417736157451605,0.3397011142933063,BN,noniid,unbalanced,0
25,3,1.0277105043369437,0.3988739422636776,BN,noniid,unbalanced,0
25,4,0.9799320717155636,0.5007120342960703,BN,noniid,unbalanced,0
25,5,0.9888798062603852,0.4644532724927878,BN,noniid,unbalanced,0
25,6,0.9730755552263652,0.431914218437102,BN,noniid,unbalanced,0
25,7,0.9297966333816308,0.4045836115262065,BN,noniid,unbalanced,0
25,8,0.9418550028984802,0.4720710924589201,BN,noniid,unbalanced,0
25,9,0.9355859535886644,0.4841877222884846,BN,noniid,unbalanced,0
25,10,0.923706306506784,0.4966717609696127,BN,noniid,unbalanced,0
26,1,1.1827318327123235,0.3038354247745338,BN,noniid,unbalanced,0
26,2,1.0883427671246646,0.3937443314243404,BN,noniid,unbalanced,0
26,3,1.0467848410880998,0.3723509307272156,BN,noniid,unbalanced,0
26,4,1.0144416623625492,0.4121756323610489,BN,noniid,unbalanced,0
26,5,0.9822064922639162,0.4449140123613485,BN,noniid,unbalanced,0
26,6,0.9750687485478804,0.5404178098174884,BN,noniid,unbalanced,0
26,7,0.9873820661875182,0.5090555832200024,BN,noniid,unbalanced,0
26,8,0.9474486635877724,0.558011764777068,BN,noniid,unbalanced,0
26,9,0.9313254090626388,0.5363885824612055,BN,noniid,unbalanced,0
26,10,0.9549368099029498,0.5314274372529779,BN,noniid,unbalanced,0
27,1,1.1121671929979495,0.2916735420587792,BN,noniid,unbalanced,0
27,2,1.0443735971244492,0.3939607203705286,BN,noniid,unbalanced,0
27,3,0.9999958674914156,0.4483377021732734,BN,noniid,unbalanced,0
27,4,0.9367997143986744,0.4274962471389408,BN,noniid,unbalanced,0
27,5,0.9460235584554126,0.420468621477506,BN,noniid,unbalanced,0
27,6,0.9332041281076798,0.4800986249465094,BN,noniid,unbalanced,0
27,7,0.9080065829023306,0.451226772914296,BN,noniid,unbalanced,0
27,8,0.871073568456844,0.4686546018722863,BN,noniid,unbalanced,0
27,9,0.8959376370701843,0.5070304427707587,BN,noniid,unbalanced,0
27,10,0.8504848729982764,0.5029570003107939,BN,noniid,unbalanced,0
28,1,1.021416491219661,0.4776889321918722,BN,noniid,unbalanced,0
28,2,0.9532144301008204,0.4816554283680744,BN,noniid,unbalanced,0
28,3,0.9227233176255086,0.4835272428971474,BN,noniid,unbalanced,0
28,4,0.9230614707301668,0.5022999053157261,BN,noniid,unbalanced,0
28,5,0.8916726355390509,0.5022362792957443,BN,noniid,unbalanced,0
28,6,0.8906508215801714,0.5073394017699655,BN,noniid,unbalanced,0
28,7,0.8792757088428095,0.518507798790816,BN,noniid,unbalanced,0
28,8,0.8798181013294956,0.4804412397938976,BN,noniid,unbalanced,0
28,9,0.8880230189397431,0.483586806314742,BN,noniid,unbalanced,0
28,10,0.8816729329684221,0.5661179677081831,BN,noniid,unbalanced,0
29,1,1.0437688033862338,0.5008403707898718,BN,noniid,unbalanced,0
29,2,0.9591006820829752,0.5351970665657123,BN,noniid,unbalanced,0
29,3,0.9111442208818286,0.584335487210583,BN,noniid,unbalanced,0
29,4,0.9041745008493934,0.5686992543816909,BN,noniid,unbalanced,0
29,5,0.8544995968683556,0.6427940723663365,BN,noniid,unbalanced,0
29,6,0.8924652591259575,0.6247548505584567,BN,noniid,unbalanced,0
29,7,0.8483578154580899,0.6198371569557254,BN,noniid,unbalanced,0
29,8,0.810439625577669,0.6560104407201065,BN,noniid,unbalanced,0
29,9,0.8235083782339497,0.6823376106260123,BN,noniid,unbalanced,0
29,10,0.8139366164719843,0.6339205884735772,BN,noniid,unbalanced,0
30,1,1.091587248538796,0.3259353753016915,BN,noniid,unbalanced,0
30,2,0.9837988288990523,0.4181560116379033,BN,noniid,unbalanced,0
30,3,0.9756064831556972,0.3602941708596841,BN,noniid,unbalanced,0
30,4,0.919666501273108,0.3838488962446775,BN,noniid,unbalanced,0
30,5,0.9156192307718,0.4623064261853066,BN,noniid,unbalanced,0
30,6,0.9103294714286188,0.4639412579769574,BN,noniid,unbalanced,0
30,7,0.8987416060461338,0.4578774093010198,BN,noniid,unbalanced,0
30,8,0.8971010145219945,0.6131722331000127,BN,noniid,unbalanced,0
30,9,0.8861931521446575,0.5311159104313746,BN,noniid,unbalanced,0
30,10,0.8977418679502216,0.5593718171233203,BN,noniid,unbalanced,0
31,1,1.0116748957901756,0.4334083172671984,BN,noniid,unbalanced,0
31,2,0.9511734609885548,0.4387156251378298,BN,noniid,unbalanced,0
31,3,0.918621041356013,0.4320557665700293,BN,noniid,unbalanced,0
31,4,0.921789100183242,0.5990912662572664,BN,noniid,unbalanced,0
31,5,0.8832708327302395,0.6412709172084263,BN,noniid,unbalanced,0
31,6,0.9097756902742978,0.5277004472302007,BN,noniid,unbalanced,0
31,7,0.8928300958630455,0.5558773418018907,BN,noniid,unbalanced,0
31,8,0.8731419990982626,0.5542741363005214,BN,noniid,unbalanced,0
31,9,0.8647601618381054,0.5058358118545971,BN,noniid,unbalanced,0
31,10,0.866999242980527,0.5907960623598478,BN,noniid,unbalanced,0
32,1,0.999972581884096,0.4162056383227661,BN,noniid,unbalanced,0
32,2,0.976659733596202,0.4393378973952132,BN,noniid,unbalanced,0
32,3,0.9381974869431629,0.439308513882848,BN,noniid,unbalanced,0
32,4,0.9248435713585318,0.4248230398244579,BN,noniid,unbalanced,0
32,5,0.9185518249783268,0.5127566611578402,BN,noniid,unbalanced,0
32,6,0.8672897200470828,0.4199298775230821,BN,noniid,unbalanced,0
32,7,0.8603974410918738,0.4355306231469675,BN,noniid,unbalanced,0
32,8,0.8865202567964161,0.4455666029948886,BN,noniid,unbalanced,0
32,9,0.8674050449044917,0.4637781929161595,BN,noniid,unbalanced,0
32,10,0.8461539140589887,0.4893309983464156,BN,noniid,unbalanced,0
33,1,1.089381403513701,0.3470146383184859,BN,noniid,unbalanced,0
33,2,1.026474557723333,0.3915019656257633,BN,noniid,unbalanced,0
33,3,1.0095287117939633,0.3879468009073797,BN,noniid,unbalanced,0
33,4,0.9970735651393288,0.3980898804936308,BN,noniid,unbalanced,0
33,5,0.970331713585513,0.3716773145195224,BN,noniid,unbalanced,0
33,6,0.9736623435060788,0.4193657642621831,BN,noniid,unbalanced,0
33,7,0.9458321462449556,0.4282180321324322,BN,noniid,unbalanced,0
33,8,0.9776350291090486,0.4534903476981661,BN,noniid,unbalanced,0
33,9,0.9304962316258024,0.3899306952186629,BN,noniid,unbalanced,0
33,10,0.9491470154269784,0.412903114611732,BN,noniid,unbalanced,0
34,1,0.9393884614663252,0.481189394631573,BN,noniid,unbalanced,0
34,2,0.9280787251848572,0.5162696854249854,BN,noniid,unbalanced,0
34,3,0.913252905900608,0.5114299066289326,BN,noniid,unbalanced,0
34,4,0.8728799642227825,0.5804411254834249,BN,noniid,unbalanced,0
34,5,0.8491895341693031,0.5054019287063682,BN,noniid,unbalanced,0
34,6,0.8187579268304175,0.5925293466807477,BN,noniid,unbalanced,0
34,7,0.8348011039237896,0.590377091766437,BN,noniid,unbalanced,0
34,8,0.8491358750668255,0.5754250630015263,BN,noniid,unbalanced,0
34,9,0.8241967282670193,0.5606616873438516,BN,noniid,unbalanced,0
34,10,0.8123066680166336,0.6239184023533013,BN,noniid,unbalanced,0
35,1,1.1534663180814375,0.1566194712755434,BN,noniid,unbalanced,0
35,2,1.134610026369285,0.2237091498323142,BN,noniid,unbalanced,0
35,3,1.135716588042763,0.23851809727418,BN,noniid,unbalanced,0
35,4,1.1583548385526854,0.2354042855676892,BN,noniid,unbalanced,0
35,5,1.1265602742202427,0.2836384470968407,BN,noniid,unbalanced,0
35,6,1.1125469948952589,0.2499953511961923,BN,noniid,unbalanced,0
35,7,1.1134108746458573,0.2479751812412301,BN,noniid,unbalanced,0
35,8,1.0999372745016238,0.2449383362527835,BN,noniid,unbalanced,0
35,9,1.084368055479004,0.2749903641256171,BN,noniid,unbalanced,0
35,10,1.0618790816895587,0.2895781726354045,BN,noniid,unbalanced,0
36,1,1.0800638380624747,0.3273796758489415,BN,noniid,unbalanced,0
36,2,1.0363418539428506,0.4104169954971218,BN,noniid,unbalanced,0
36,3,1.0102504174013418,0.3571768459421863,BN,noniid,unbalanced,0
36,4,0.9945633066563856,0.4317762876138237,BN,noniid,unbalanced,0
36,5,1.045484065416252,0.4714427932261864,BN,noniid,unbalanced,0
36,6,1.010259674856686,0.4375664887780447,BN,noniid,unbalanced,0
36,7,1.0405965443628682,0.4004378121885221,BN,noniid,unbalanced,0
36,8,0.9842259006222784,0.4256314294748264,BN,noniid,unbalanced,0
36,9,1.0149748905641074,0.4896676725512351,BN,noniid,unbalanced,0
36,10,0.9962017260168716,0.4803665667330843,BN,noniid,unbalanced,0
37,1,1.1153363397754197,0.3934097889864248,BN,noniid,unbalanced,0
37,2,1.073760226425853,0.4703111883558611,BN,noniid,unbalanced,0
37,3,1.0642055856244654,0.3719743830119968,BN,noniid,unbalanced,0
37,4,1.0254562833383225,0.4501008143837778,BN,noniid,unbalanced,0
37,5,1.0383464733040573,0.4285860668695888,BN,noniid,unbalanced,0
37,6,1.065526552882737,0.44762440059849,BN,noniid,unbalanced,0
37,7,1.04006484386807,0.4410934078836806,BN,noniid,unbalanced,0
37,8,1.0328288524039688,0.4426711511347794,BN,noniid,unbalanced,0
37,9,1.0009702580845266,0.4820260887826557,BN,noniid,unbalanced,0
37,10,1.018049900800766,0.4425297401452084,BN,noniid,unbalanced,0
38,1,1.116225860967462,0.3315934049273468,BN,noniid,unbalanced,0
38,2,1.0951752188678414,0.3072363799417541,BN,noniid,unbalanced,0
38,3,1.0539920978030304,0.3745110395908436,BN,noniid,unbalanced,0
38,4,1.051094978668572,0.4224572867060627,BN,noniid,unbalanced,0
38,5,1.035453842769592,0.3843639358392016,BN,noniid,unbalanced,0
38,6,1.000753647117996,0.4579956174665668,BN,noniid,unbalanced,0
38,7,1.0138339558078966,0.4285934823159719,BN,noniid,unbalanced,0
38,8,0.9871296851552565,0.445625625899916,BN,noniid,unbalanced,0
38,9,0.9812661088318426,0.5127375950935221,BN,noniid,unbalanced,0
