norm,independence,balancement,round,test_accuracy,test_loss,train_loss,seed,lr,mm,wd
BN,iid,balanced,1,0.1,2.3397930754890925,4.034146800041198,0,0.01,0.5,0.0
BN,iid,balanced,2,0.1,2.378032138076009,3.1805685539245605,0,0.01,0.5,0.0
BN,iid,balanced,3,0.1213,2.4174090518227107,2.689329530715942,0,0.01,0.5,0.0
BN,iid,balanced,4,0.1432,2.237413922442665,2.4836682312488554,0,0.01,0.5,0.0
BN,iid,balanced,5,0.1741,2.1217699835572064,2.348270641565323,0,0.01,0.5,0.0
BN,iid,balanced,6,0.1854,2.099697503862502,2.265737993478775,0,0.01,0.5,0.0
BN,iid,balanced,7,0.203,2.0475026006940045,2.235082822799683,0,0.01,0.5,0.0
BN,iid,balanced,8,0.2162,1.9658116735989533,2.1924378538131712,0,0.01,0.5,0.0
BN,iid,balanced,9,0.2524,1.92051915881,2.1250507574081423,0,0.01,0.5,0.0
BN,iid,balanced,10,0.2511,1.9192176800739915,2.0983639960289,0,0.01,0.5,0.0
BN,iid,balanced,11,0.2721,1.891421886939037,2.069952859401703,0,0.01,0.5,0.0
BN,iid,balanced,12,0.2827,1.8552828604661968,2.039648093700409,0,0.01,0.5,0.0
BN,iid,balanced,13,0.3056,1.8031898918031133,2.0231297729015347,0,0.01,0.5,0.0
BN,iid,balanced,14,0.3148,1.789101034780092,1.9829611761569976,0,0.01,0.5,0.0
BN,iid,balanced,15,0.3212,1.7748403715181955,1.957060521364212,0,0.01,0.5,0.0
BN,iid,balanced,16,0.3183,1.7610862556892106,1.9432582654953,0,0.01,0.5,0.0
BN,iid,balanced,17,0.3502,1.7081392445141756,1.9181297085285185,0,0.01,0.5,0.0
BN,iid,balanced,18,0.353,1.705797682834577,1.907608563184738,0,0.01,0.5,0.0
BN,iid,balanced,19,0.3599,1.6582381287707555,1.870576408624649,0,0.01,0.5,0.0
BN,iid,balanced,20,0.4017,1.6277777469610866,1.8480351624488829,0,0.01,0.5,0.0
BN,iid,balanced,21,0.3756,1.6662557034552852,1.845012655735016,0,0.01,0.5,0.0
BN,iid,balanced,22,0.3934,1.6132456124583376,1.8229367096424105,0,0.01,0.5,0.0
BN,iid,balanced,23,0.4148,1.5760662872580034,1.814735882163048,0,0.01,0.5,0.0
BN,iid,balanced,24,0.4005,1.5853642934485326,1.7998898010253903,0,0.01,0.5,0.0
BN,iid,balanced,25,0.4308,1.5401287184485906,1.7625006847381592,0,0.01,0.5,0.0
BN,iid,balanced,26,0.433,1.513427799261069,1.7468034780025483,0,0.01,0.5,0.0
BN,iid,balanced,27,0.4341,1.522020069858696,1.7345173256397246,0,0.01,0.5,0.0
BN,iid,balanced,28,0.4487,1.4856233098838902,1.725368453860283,0,0.01,0.5,0.0
BN,iid,balanced,29,0.4709,1.4376497962806798,1.7147737749814986,0,0.01,0.5,0.0
BN,iid,balanced,30,0.4648,1.47269199920606,1.71752791929245,0,0.01,0.5,0.0
BN,iid,balanced,31,0.4594,1.4979915000215362,1.6830310267210007,0,0.01,0.5,0.0
BN,iid,balanced,32,0.461,1.4577541668203813,1.649902211904526,0,0.01,0.5,0.0
BN,iid,balanced,33,0.4739,1.4286144096640092,1.6879332206249238,0,0.01,0.5,0.0
BN,iid,balanced,34,0.4986,1.380944762048842,1.6513823029994967,0,0.01,0.5,0.0
BN,iid,balanced,35,0.4773,1.4084537889384017,1.640034281373024,0,0.01,0.5,0.0
BN,iid,balanced,36,0.4887,1.3879447888724412,1.6140742583274843,0,0.01,0.5,0.0
BN,iid,balanced,37,0.5019,1.3585613664192489,1.588028969526291,0,0.01,0.5,0.0
BN,iid,balanced,38,0.5076,1.342658061015455,1.5759631860256196,0,0.01,0.5,0.0
BN,iid,balanced,39,0.5178,1.3193406334406212,1.5831701682806014,0,0.01,0.5,0.0
BN,iid,balanced,40,0.5118,1.3149487489386449,1.576389584064484,0,0.01,0.5,0.0
BN,iid,balanced,41,0.5259,1.284130473680134,1.521075403213501,0,0.01,0.5,0.0
BN,iid,balanced,42,0.5317,1.2693910553485532,1.524850387811661,0,0.01,0.5,0.0
BN,iid,balanced,43,0.5216,1.3026788687404198,1.527154120206833,0,0.01,0.5,0.0
BN,iid,balanced,44,0.5388,1.2598043001150785,1.5067824357748032,0,0.01,0.5,0.0
BN,iid,balanced,45,0.5261,1.2763780777967428,1.5062414017915726,0,0.01,0.5,0.0
BN,iid,balanced,46,0.5502,1.2293925240070005,1.469858643293381,0,0.01,0.5,0.0
BN,iid,balanced,47,0.5523,1.2201369668863995,1.4734450163841246,0,0.01,0.5,0.0
BN,iid,balanced,48,0.5468,1.2255689705474466,1.4723022834062576,0,0.01,0.5,0.0
BN,iid,balanced,49,0.5521,1.2058252473420734,1.4427926815748218,0,0.01,0.5,0.0
BN,iid,balanced,50,0.5681,1.174334297451792,1.430252336382866,0,0.01,0.5,0.0
BN,noniid,balanced,1,0.1,2.556699381598944,2.039061404332519,0,0.01,0.5,0.0
BN,noniid,balanced,2,0.1,2.8944867321207552,1.6942689992636442,0,0.01,0.5,0.0
BN,noniid,balanced,3,0.1,2.611887841285029,1.367322836369276,0,0.01,0.5,0.0
BN,noniid,balanced,4,0.1345,2.507361309437812,1.148125194810331,0,0.01,0.5,0.0
BN,noniid,balanced,5,0.0995,2.7399824812442444,1.0081548841893673,0,0.01,0.5,0.0
BN,noniid,balanced,6,0.1071,2.9032693784448167,0.9034219584465027,0,0.01,0.5,0.0
BN,noniid,balanced,7,0.1241,2.752290405804598,0.8719943084567785,0,0.01,0.5,0.0
BN,noniid,balanced,8,0.1238,2.936758853212188,0.8576260039433837,0,0.01,0.5,0.0
BN,noniid,balanced,9,0.1451,2.804203600823125,0.8017512727975845,0,0.01,0.5,0.0
BN,noniid,balanced,10,0.1572,2.737720549861088,0.7475048836767674,0,0.01,0.5,0.0
BN,noniid,balanced,11,0.1494,2.7802023223683805,0.74535596447438,0,0.01,0.5,0.0
BN,noniid,balanced,12,0.141,2.7409493259236783,0.7513668337818236,0,0.01,0.5,0.0
BN,noniid,balanced,13,0.1476,2.669796611689314,0.7122338317036628,0,0.01,0.5,0.0
BN,noniid,balanced,14,0.1662,2.8116975102243544,0.710622778467834,0,0.01,0.5,0.0
BN,noniid,balanced,15,0.1628,2.7008681689636616,0.7185268233567477,0,0.01,0.5,0.0
BN,noniid,balanced,16,0.1747,3.0788046106507507,0.679045172393322,0,0.01,0.5,0.0
BN,noniid,balanced,17,0.1586,2.6520800741412973,0.6830937457680701,0,0.01,0.5,0.0
BN,noniid,balanced,18,0.1719,2.702943451796906,0.6511653994992375,0,0.01,0.5,0.0
BN,noniid,balanced,19,0.1653,2.82473344138906,0.6702832166105509,0,0.01,0.5,0.0
BN,noniid,balanced,20,0.173,4.832994575741925,0.6431451287269593,0,0.01,0.5,0.0
BN,noniid,balanced,21,0.1783,2.798871592630314,0.6357052944786845,0,0.01,0.5,0.0
BN,noniid,balanced,22,0.1654,2.953703850130492,0.656374450057745,0,0.01,0.5,0.0
BN,noniid,balanced,23,0.1732,2.7419397438628765,0.6257493830807507,0,0.01,0.5,0.0
BN,noniid,balanced,24,0.1768,2.82414757149129,0.6082936834469438,0,0.01,0.5,0.0
BN,noniid,balanced,25,0.1714,3.540484549124029,0.6108063316270709,0,0.01,0.5,0.0
BN,noniid,balanced,26,0.1758,4.916552290131774,0.6104827454164625,0,0.01,0.5,0.0
BN,noniid,balanced,27,0.1784,8.864182212684728,0.6108945774286985,0,0.01,0.5,0.0
BN,noniid,balanced,28,0.1823,6.794612525384637,0.6084413254633545,0,0.01,0.5,0.0
BN,noniid,balanced,29,0.1803,3.5868132235128667,0.6022310861013829,0,0.01,0.5,0.0
BN,noniid,balanced,30,0.183,3.0924190147013606,0.5890434816628695,0,0.01,0.5,0.0
BN,noniid,balanced,31,0.1816,3.663428674770307,0.6082170683294537,0,0.01,0.5,0.0
BN,noniid,balanced,32,0.1849,2.7166513853435275,0.5714123681783676,0,0.01,0.5,0.0
