norm,independence,balancement,round,train_loss
GN,iid,balanced,38.0,1.9753039922714235
GN,iid,balanced,39.0,1.9702086544036865
GN,iid,balanced,40.0,1.9655282933712002
GN,iid,balanced,41.0,1.959903612613678
GN,iid,balanced,42.0,1.9504073206583659
GN,iid,balanced,43.0,1.9501576846440634
GN,iid,balanced,44.0,1.9455684781869254
GN,iid,balanced,45.0,1.941602424621582
GN,iid,balanced,46.0,1.9423947857220971
GN,iid,balanced,47.0,1.9275797233581544
GN,iid,balanced,48.0,1.93210661649704
GN,iid,balanced,49.0,1.9258057903448738
GN,iid,balanced,50.0,1.9168697221279147
GN,noniid,balanced,1.0,2.8064663628538447
GN,noniid,balanced,2.0,1.407060334715717
GN,noniid,balanced,3.0,0.9152116002579119
GN,noniid,balanced,4.0,0.84696467825149
GN,noniid,balanced,5.0,0.7818890517470233
GN,noniid,balanced,6.0,0.7562054792131142
GN,noniid,balanced,7.0,0.7555041323512173
GN,noniid,balanced,8.0,0.7506539550575934
GN,noniid,balanced,9.0,0.7285897021021519
GN,noniid,balanced,10.0,0.7179036101858364
GN,noniid,balanced,11.0,0.7028219331067426
GN,noniid,balanced,12.0,0.6981482447610471
GN,noniid,balanced,13.0,0.6903483533277758
GN,noniid,balanced,14.0,0.6771321756498073
GN,noniid,balanced,15.0,0.6782606524448589
GN,noniid,balanced,16.0,0.6638742316850111
GN,noniid,balanced,17.0,0.6499820544844551
GN,noniid,balanced,18.0,0.6489309260225541
GN,noniid,balanced,19.0,0.6439531859185083
GN,noniid,balanced,20.0,0.6231524665917241
GN,noniid,balanced,21.0,0.6177161517353671
GN,noniid,balanced,22.0,0.6322674338776076
GN,noniid,balanced,23.0,0.6053728067813839
GN,noniid,balanced,24.0,0.6006084524837595
GN,noniid,balanced,25.0,0.6016880223342935
GN,noniid,balanced,26.0,0.6043282548853991
GN,noniid,balanced,27.0,0.606282742320594
GN,noniid,balanced,28.0,0.5972582368756995
GN,noniid,balanced,29.0,0.5942786800676064
GN,noniid,balanced,30.0,0.5846331631629533
GN,noniid,balanced,31.0,0.5886569735580026
GN,noniid,balanced,32.0,0.5799986189910269
GN,noniid,balanced,33.0,0.5711106063053302
GN,noniid,balanced,34.0,0.577483723855655
GN,noniid,balanced,35.0,0.5663948188074865
GN,noniid,balanced,36.0,0.567538038850888
GN,noniid,balanced,37.0,0.5712927684030923
GN,noniid,balanced,38.0,0.5688435430106474
GN,noniid,balanced,39.0,0.5696156835994285
GN,noniid,balanced,40.0,0.5543586804289952
GN,noniid,balanced,41.0,0.5540605643745414
GN,noniid,balanced,42.0,0.5494291644754752
GN,noniid,balanced,43.0,0.5466876317490532
GN,noniid,balanced,44.0,0.5483692080070858
GN,noniid,balanced,45.0,0.536005006355311
